id,name,adm1_code,Hispanic,Other,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Black,White,,,,,,,,,
24,Alabama,US01,4.28,1.45,0.52,1.36,0.05,26.64,68.09,,,,,,,,,
0,Alaska,US02,7.04,1.53,14.89,6.23,1.25,3.28,64.58,,,,,,,,,
7,Arizona,US04,31.33,6.53,4.5,3.31,0.21,4.5,77.22,,,,,,,,,
8,Arkansas,US05,7.47,2.79,0.68,1.52,0.29,15.32,76.72,,,,,,,,,
1,California,US06,39.02,13.95,0.77,14.49,0.4,5.79,59.7,,,,,,,,,
9,Colorado,US08,21.53,3.86,0.98,3.18,0.15,4.16,84,,,,,,,,,
25,Connecticut,US09,16.06,5.21,0.28,4.51,0.03,10.72,75.92,,,,,,,,,
26,Delaware,US10,9.23,1.92,0.39,3.87,0.06,22.18,68.76,,,,,,,,,
27,District of Columbia,US11,8.31,3.70,0.32,3.19,0.05,35.12,35.12,,,,,,,,,
28,Florida,US12,25.58,2.99,0.28,2.73,0.06,16.07,75.12,,,,,,,,,
29,Georgia,US13,9.54,2.81,0.36,3.98,0.06,31.61,58.62,,,,,,,,,
2,Hawaii,US15,10.49,1.23,0.26,37.79,10.06,1.83,24.95,,,,,,,,,
3,Idaho,US16,12.54,3.47,1.35,1.41,0.16,0.69,89.97,,,,,,,,,
30,Illinois,US17,17.12,5.93,0.26,5.47,0.04,14.2,71.53,,,,,,,,,
31,Indiana,US18,6.93,2.19,0.24,2.28,0.04,9.4,83.31,,,,,,,,,
10,Iowa,US19,6,1.24,0.38,2.41,0.12,3.71,90.02,,,,,,,,,
11,Kansas,US20,11.88,2.46,0.82,2.95,0.08,5.85,84.38,,,,,,,,,
32,Kentucky,US21,3.66,0.98,0.21,1.47,0.07,8.07,86.95,,,,,,,,,
12,Louisiana,US22,5.13,1.41,0.57,1.73,0.03,32.22,62.01,,,,,,,,,
33,Maine,US23,1.65,0.27,0.65,1.13,0.03,1.38,94.31,,,,,,,,,
24,Maryland,US24,10.08,4.52,0.28,6.28,0.05,29.89,55.54,,,,,,,,,
35,Massachusetts,US25,11.81,4.18,0.22,6.6,0.04,7.63,78.07,,,,,,,,,
36,Michigan,US26,5.09,1.18,0.54,3.13,0.03,13.79,78.41,,,,,,,,,
13,Minnesota,US27,5.38,1.87,1.04,4.82,0.04,6.41,82.85,,,,,,,,,
37,Mississippi,US28,3.06,1.03,0.48,0.99,0.02,37.72,58.41,,,,,,,,,
14,Missouri,US29,4.17,1.17,0.44,1.98,0.13,11.49,82.16,,,,,,,,,
15,Montana,US30,3.84,0.67,6.36,0.79,0.08,0.5,88.54,,,,,,,,,
16,Nebraska,US31,10.88,2.1,0.92,2.38,0.07,4.83,87.06,,,,,,,,,
4,Nevada,US32,28.7,10.26,1.28,8.15,0.67,9.12,65.59,,,,,,,,,
38,New Hampshire,US33,3.75,0.56,0.15,2.68,0.03,1.6,92.88,,,,,,,,,
39,New Jersey,US34,20.21,6.29,0.22,9.46,0.04,13.46,67.78,,,,,,,,,
17,New Mexico,US35,48.79,8.63,9.55,1.56,0.08,2.11,74.81,,,,,,,,,
40,New York,US36,19.01,8.66,0.41,8.42,0.05,15.66,63.66,,,,,,,,,
41,North Carolina,US37,9.38,3.09,1.21,2.85,0.07,21.44,68.68,,,,,,,,,
18,North Dakota,US38,3.74,1.07,5.29,1.45,0.11,2.91,86.58,,,,,,,,,
42,Ohio,US39,3.8,0.97,0.2,2.22,0.03,12.41,81.3,,,,,,,,,
19,Oklahoma,US40,10.63,2.71,7.62,2.17,0.16,7.28,72.32,,,,,,,,,
5,Oregon,US41,13.01,3.07,1.16,4.37,0.4,1.91,84.29,,,,,,,,,
43,Pennsylvania,US42,7.31,2.15,0.19,3.41,0.03,11.18,80.53,,,,,,,,,
44,Rhode Island,US44,15.44,5.47,0.5,3.4,0.08,6.77,80.46,,,,,,,,,
45,South Carolina,US45,5.69,1.76,0.35,1.57,0.08,26.77,67.16,,,,,,,,,
20,South Dakota,US46,3.79,0.83,8.75,1.45,0.06,2.01,84.27,,,,,,,,,
46,Tennessee,US47,5.43,1.38,0.27,1.75,0.06,16.76,77.58,,,,,,,,,
21,Texas,US48,39.34,5.82,0.5,4.8,0.09,12.13,73.97,,,,,,,,,
22,Utah,US49,14.04,5.04,1.09,2.32,0.89,1.19,86.43,,,,,,,,,
47,Vermont,US50,1.93,0.39,0.34,1.68,0.05,1.36,94.16,,,,,,,,,
48,Virginia,US51,9.37,2.65,0.28,6.4,0.07,19.18,67.63,,,,,,,,,
6,Washington,US53,12.66,4.5,1.28,8.53,0.66,3.8,75.38,,,,,,,,,
49,West Virginia,US54,1.56,0.44,0.2,0.8,0.02,3.69,93.08,,,,,,,,,
50,Wisconsin,US55,6.81,2.04,0.89,2.79,0.04,6.41,85.43,,,,,,,,,
23,Wyoming,US56,9.87,1.52,2.44,0.86,0.1,0.96,91.44,,,,,,,,,
